year,country,state,month,number,date
2010,Brazil,Minas Gerais,Aug,3353,1/1/2010
1998,Brazil,Espirito Santo,Jun,6,1/1/1998
2003,Brazil,Paraiba,Mar,76,1/1/2003
2006,Brazil,Maranhao,Mar,14,1/1/2006
2012,Brazil,Mato Grosso,Mar,423,1/1/2012
2010,Brazil,Minas Gerais,Feb,155,1/1/2010
2003,Brazil,Amapa,May,0,1/1/2003
2005,Brazil,Goias,Jan,27,1/1/2005
2010,Brazil,Rio,May,3,1/1/2010
2016,Brazil,Paraiba,Jan,113,1/1/2016
2013,Brazil,Rondonia,Feb,8,1/1/2013
1999,Brazil,Bahia,Apr,55,1/1/1999
2016,Brazil,Tocantins,Dez,119,1/1/2016
2000,Brazil,Roraima,Sep,12,1/1/2000
2011,Brazil,Rio,Apr,0,1/1/2011
2007,Brazil,Rio,May,2,1/1/2007
1998,Brazil,Mato Grosso,May,0,1/1/1998
2001,Brazil,Acre,Jun,1,1/1/2001
2011,Brazil,Goias,Sep,2259,1/1/2011
2006,Brazil,Rio,Apr,2,1/1/2006
2002,Brazil,Tocantins,Dez,39,1/1/2002
2014,Brazil,Rio,Nov,68,1/1/2014
2006,Brazil,Minas Gerais,May,62,1/1/2006
2011,Brazil,Rondonia,May,54,1/1/2011
2008,Brazil,Rio,May,20,1/1/2008
2011,Brazil,Mato Grosso,May,81,1/1/2011
2014,Brazil,Maranhao,Jan,195,1/1/2014
2001,Brazil,Espirito Santo,Jul,12,1/1/2001
2006,Brazil,Rio,Nov,27,1/1/2006
2016,Brazil,Bahia,Mar,281,1/1/2016
1999,Brazil,Rio,May,13,1/1/1999
2001,Brazil,Amazonas,Nov,244,1/1/2001
2013,Brazil,Pernambuco,Mar,40,1/1/2013
2007,Brazil,Goias,Dez,0,1/1/2007
2015,Brazil,Para,Jun,265,1/1/2015
2001,Brazil,Piau,Oct,3742,1/1/2001
2016,Brazil,Para,Jul,1579,1/1/2016
2015,Brazil,Santa Catarina,Jul,45,1/1/2015
2002,Brazil,Piau,Jul,534,1/1/2002
2006,Brazil,Piau,Jun,40,1/1/2006
2006,Brazil,Sao Paulo,Sep,694,1/1/2006
2002,Brazil,Bahia,Dez,848,1/1/2002
2006,Brazil,Rio,Feb,7,1/1/2006
2012,Brazil,Rio,Jan,12,1/1/2012
1999,Brazil,Maranhao,Dez,1001,1/1/1999
2016,Brazil,Alagoas,Aug,5,1/1/2016
2000,Brazil,Rio,Mar,11,1/1/2000
2010,Brazil,Distrito Federal,Jun,21,1/1/2010
2011,Brazil,Maranhao,Oct,2404,1/1/2011
2016,Brazil,Amazonas,Jun,90,1/1/2016
2000,Brazil,Minas Gerais,Oct,1954,1/1/2000
2011,Brazil,Ceara,Aug,53,1/1/2011
2002,Brazil,Distrito Federal,Oct,19,1/1/2002
2003,Brazil,Sergipe,Sep,3,1/1/2003
2002,Brazil,Goias,Feb,9,1/1/2002
2014,Brazil,Roraima,Sep,67,1/1/2014
2007,Brazil,Maranhao,Jan,428,1/1/2007
2006,Brazil,Minas Gerais,Sep,278,1/1/2006
2008,Brazil,Ceara,Jul,3,1/1/2008
2007,Brazil,Minas Gerais,Jul,446,1/1/2007
2007,Brazil,Acre,Apr,0,1/1/2007
2013,Brazil,Distrito Federal,Jun,4,1/1/2013
1998,Brazil,Rio,Oct,55,1/1/1998
2004,Brazil,Rio,Apr,3,1/1/2004
2000,Brazil,Goias,Oct,905,1/1/2000
2000,Brazil,Goias,Mar,4,1/1/2000
1999,Brazil,Espirito Santo,Dez,0,1/1/1999
2006,Brazil,Rio,Jan,46,1/1/2006
2002,Brazil,Tocantins,Jul,976,1/1/2002
1998,Brazil,Paraiba,Sep,61,1/1/1998
2000,Brazil,Sao Paulo,Mar,26,1/1/2000
2002,Brazil,Paraiba,Feb,18,1/1/2002
2000,Brazil,Distrito Federal,Nov,0,1/1/2000
2015,Brazil,Pernambuco,Oct,194,1/1/2015
2013,Brazil,Roraima,May,4,1/1/2013
2014,Brazil,Alagoas,Jan,54,1/1/2014
2016,Brazil,Sao Paulo,Mar,82,1/1/2016
2015,Brazil,Santa Catarina,Feb,23,1/1/2015
2017,Brazil,Paraiba,Mar,2,1/1/2017
2017,Brazil,Mato Grosso,Jun,175,1/1/2017
2004,Brazil,Mato Grosso,May,2413,1/1/2004
2017,Brazil,Distrito Federal,Oct,66,1/1/2017
2007,Brazil,Acre,Sep,208,1/1/2007
2000,Brazil,Mato Grosso,Apr,59,1/1/2000
2015,Brazil,Ceara,Apr,3,1/1/2015
2003,Brazil,Para,May,3,1/1/2003
2006,Brazil,Rondonia,Nov,253,1/1/2006
2005,Brazil,Paraiba,Sep,386,1/1/2005
2009,Brazil,Paraiba,Oct,424,1/1/2009
2005,Brazil,Sergipe,Jun,0,1/1/2005
1998,Brazil,Maranhao,Aug,1176,1/1/1998
2008,Brazil,Alagoas,Apr,18,1/1/2008
2014,Brazil,Ceara,Apr,4,1/1/2014
