year,country,state,month,number,date
2000,Brazil,Minas Gerais,Aug,769,1/1/2000
2015,Brazil,Paraiba,Apr,11,1/1/2015
2005,Brazil,Acre,May,2,1/1/2005
2007,Brazil,Rio,Jun,10,1/1/2007
2015,Brazil,Piau,Oct,4068,1/1/2015
2015,Brazil,Distrito Federal,Apr,0,1/1/2015
2007,Brazil,Acre,Oct,203,1/1/2007
2003,Brazil,Ceara,Feb,9,1/1/2003
2003,Brazil,Tocantins,Jun,329,1/1/2003
2006,Brazil,Paraiba,May,0,1/1/2006
2000,Brazil,Rondonia,Jun,54,1/1/2000
2003,Brazil,Rio,Apr,30,1/1/2003
2012,Brazil,Amazonas,Sep,2392,1/1/2012
2015,Brazil,Piau,Dez,626,1/1/2015
1998,Brazil,Para,Nov,1861,1/1/1998
1998,Brazil,Sao Paulo,Mar,0,1/1/1998
2012,Brazil,Rio,Jul,3,1/1/2012
2015,Brazil,Distrito Federal,Oct,21,1/1/2015
2012,Brazil,Mato Grosso,Dez,194,1/1/2012
2001,Brazil,Alagoas,Sep,5,1/1/2001
2004,Brazil,Acre,Sep,1978,1/1/2004
2005,Brazil,Goias,Aug,639,1/1/2005
1998,Brazil,Rondonia,May,0,1/1/1998
2016,Brazil,Acre,Dez,6,1/1/2016
2001,Brazil,Mato Grosso,Jun,249,1/1/2001
2012,Brazil,Distrito Federal,Jun,6,1/1/2012
1998,Brazil,Distrito Federal,Jul,17,1/1/1998
